event_type_id,event_domain,domain_label,display_name,default_outcome,default_stage,default_social,safety_level,description
EVT_SELF_DOUBT,SELF,나 자신,자기 의심,OUT_UNCERTAIN,ONGOING,ALONE,SAFE,자기 의심 상황
EVT_COMPARISON,SELF,나 자신,남과 비교함,OUT_DIFFICULT,COMPLETED,GROUP,SAFE,남과 비교함 상황
EVT_HABIT_SUCCESS,SELF,나 자신,루틴을 지킴,OUT_SUCCESS,COMPLETED,ALONE,SAFE,루틴을 지킴 상황
EVT_DECISION,SELF,나 자신,결정을 내림,OUT_MIXED,COMPLETED,ALONE,SAFE,결정을 내림 상황
EVT_TRIP_START,TRAVEL,여행·외출,여행을 시작함,OUT_POSITIVE,STARTED,FRIENDS,SAFE,여행을 시작함 상황
EVT_BEAUTIFUL_VIEW,TRAVEL,여행·외출,아름다운 풍경,OUT_POSITIVE,COMPLETED,ALONE,SAFE,아름다운 풍경 상황
EVT_TRAVEL_TIRED,TRAVEL,여행·외출,여행 중 피로,OUT_MIXED,ONGOING,FRIENDS,SAFE,여행 중 피로 상황
EVT_BIRTHDAY,CELEBRATION,축하,생일,OUT_POSITIVE,COMPLETED,GROUP,SAFE,생일 상황
EVT_GOOD_NEWS,CELEBRATION,축하,좋은 소식,OUT_SUCCESS,COMPLETED,FRIENDS,SAFE,좋은 소식 상황
EVT_GIFT,CELEBRATION,축하,선물,OUT_POSITIVE,COMPLETED,FRIENDS,SAFE,선물 상황
EVT_GOODBYE,LOSS,상실,작별,OUT_LOSS,COMPLETED,PARTNER,SENSITIVE,작별 상황
EVT_REJECTION,LOSS,상실,거절·탈락,OUT_DIFFICULT,COMPLETED,ALONE,SAFE,거절·탈락 상황
EVT_PET_LOSS,LOSS,상실,반려동물과 이별,OUT_LOSS,ONGOING,PET,REVIEW,반려동물과 이별 상황
EVT_CANCELLATION,UNEXPECTED,예상 밖의 일,일정 취소,OUT_MIXED,CANCELLED,ALONE,SAFE,일정 취소 상황
EVT_SURPRISE_MEETING,UNEXPECTED,예상 밖의 일,우연한 만남,OUT_POSITIVE,COMPLETED,FRIENDS,SAFE,우연한 만남 상황
EVT_FOUND_ITEM,UNEXPECTED,예상 밖의 일,잃어버린 것을 찾음,OUT_RELIEF,COMPLETED,ALONE,SAFE,잃어버린 것을 찾음 상황
EVT_UNSPECIFIED,UNKNOWN,미확인,구체 사건 미확인,OUT_UNKNOWN,UNSPECIFIED,NOT_DISCLOSED,SAFE,구체 사건 미확인 상황
