action_id,display_name,visual_prompt,motion_level,safety_note,required_pose_tags,gaze_target,required_location_tags,compatible_object_ids,incompatible_tags,candidate_weight,aliases
ACT_LISTEN_MUSIC,음악 듣기,"a clear, safe visual action of 음악 듣기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_PLAY_GAME,비폭력 게임 즐기기,"a clear, safe visual action of 비폭력 게임 즐기기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_READ,책 읽기,"a clear, safe visual action of 책 읽기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_DRAW,그림 그리기,"a clear, safe visual action of 그림 그리기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_COOK,요리하기,"a clear, safe visual action of 요리하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_PET,반려동물 쓰다듬기,"a clear, safe visual action of 반려동물 쓰다듬기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_REST_BLANKET,담요를 덮고 쉬기,"a clear, safe visual action of 담요를 덮고 쉬기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_DRINK_WARM,따뜻한 음료 마시기,"a clear, safe visual action of 따뜻한 음료 마시기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_SIT_QUIET,조용히 앉기,sitting quietly with slightly lowered shoulders and hands resting naturally,LOW,"폭력·위험 행동 금지, 팔다리 수 유지",SEATED|STILL,SCENE_CAUSE,SEAT_AVAILABLE,,,55,앉기|앉아 있기
ACT_COMMUTE,이동하기,"a clear, safe visual action of 이동하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_CLEAN,방 정리하기,"a clear, safe visual action of 방 정리하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_WAIT_TRANSIT,교통 기다리기,"a clear, safe visual action of 교통 기다리기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_LOOK_SKY,하늘 보기,"a clear, safe visual action of 하늘 보기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_SELF_PROUD,자신을 뿌듯하게 바라보기,"a clear, safe visual action of 자신을 뿌듯하게 바라보기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_REFLECTION,거울을 보며 생각하기,"a clear, safe visual action of 거울을 보며 생각하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_LOOK_AWAY,군중에서 시선 돌리기,"a clear, safe visual action of 군중에서 시선 돌리기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_CHOOSE_PATH,길 하나 선택하기,"a clear, safe visual action of 길 하나 선택하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_TRAVEL,여행 시작하기,"a clear, safe visual action of 여행 시작하기, with natural anatomy",DYNAMIC,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_WATCH_VIEW,풍경 바라보기,"a clear, safe visual action of 풍경 바라보기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_REST_LUGGAGE,짐 옆에서 쉬기,"a clear, safe visual action of 짐 옆에서 쉬기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_CELEBRATE,작게 축하하기,"a clear, safe visual action of 작게 축하하기, with natural anatomy",DYNAMIC,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_READ_NEWS,좋은 소식 읽기,"a clear, safe visual action of 좋은 소식 읽기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_OPEN_GIFT,선물 열기,"a clear, safe visual action of 선물 열기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_HOLD_LETTER,편지 들고 마음 정리하기,"a clear, safe visual action of 편지 들고 마음 정리하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_HOLD_MEMORY,추억 간직하기,"a clear, safe visual action of 추억 간직하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_CHECK_PLAN,취소된 계획 확인하기,"a clear, safe visual action of 취소된 계획 확인하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_SURPRISE_GREETING,뜻밖의 만남에 인사하기,"a clear, safe visual action of 뜻밖의 만남에 인사하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_HOLD_FOUND,찾은 물건 들고 안도하기,"a clear, safe visual action of 찾은 물건 들고 안도하기, with natural anatomy",LOW,"폭력·위험 행동 금지, 팔다리 수 유지",NATURAL,ACTION_TARGET,,,,30,
ACT_WATCH_RAIN,창가에서 비 바라보기,sitting quietly beside the window and watching the rain outside,LOW,"natural anatomy, no extreme despair",SEATED|STILL,WINDOW,INDOOR|WINDOW_VISIBLE,OBJ_MUG|OBJ_TEA,RUNNING|SUNNY_OUTDOOR,80,비 바라보기|비를 보기
